,S.No,actual,pred,alive,plod,Name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
0,2,1,0,0.387,0.613,walder frey,Lord of the Crossing,1,Rivermen,208.0,,,,,House Frey,Perra Royce,1,1,1,1,1,,,,1.0,1,1,97.0,1,1,1,0.89632107,1,None,,,,28.0,1,1,1,0,1,0,0
1,5,1,1,0.617,0.38299999999999995,sylva santagar,Greenstone,0,Dornish,276.0,,,,,House Santagar,Eldon Estermont,0,0,0,1,0,,,,1.0,1,1,29.0,0,0,0,0.043478261,1,Martell,,,,21.0,0,1,0,0,0,1,0
2,9,0,1,0.7240000000000001,0.276,wilbert,Ser,1,,,298.0,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.006688963000000001,0,Stark,298.0,3.0,29.0,29.0,1,0,0,0,1,0,0
3,11,0,0,0.16699999999999998,0.833,will,,1,,,297.0,,,,Night's Watch,,1,1,0,0,0,,,,,0,0,,0,0,0,0.16387959900000001,0,Night's Watch,297.0,1.0,0.0,0.0,1,0,1,0,0,0,0
4,12,1,1,0.985,0.015,will (orphan),,0,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,37.0,1,0,0,0,0,1,0
5,20,1,1,0.922,0.078,willit,,1,,,,,,,House Swyft,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,1,Lannister,,,,65.0,1,0,0,1,0,0,0
6,21,1,1,0.9740000000000001,0.026000000000000002,willis wode,Ser,1,,,,,,,House Wode,,1,0,0,1,0,,,,,0,1,,0,0,0,0.02006689,1,Arryn,,,,31.0,1,1,1,0,0,0,0
7,24,1,1,0.561,0.439,willum,Ser,1,,,,,,,,,1,0,0,0,0,,,,,0,1,,0,0,0,0.0,1,Tully,,,,43.0,1,0,1,0,0,0,0
8,26,0,0,0.217,0.7829999999999999,willow witch-eye,,0,Free Folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.050167224,0,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
9,27,0,0,0.193,0.807,woth,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.030100334,0,Night's Watch,299.0,2.0,14.0,14.0,1,0,0,1,0,0,0
10,28,1,1,0.71,0.29,wulfe,,1,Ironborn,,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,0,,0,0,0,0.023411371,1,House Greyjoy,,,,29.0,1,0,0,0,0,1,1
11,29,1,1,0.809,0.191,wyl the whittler,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
12,30,0,0,0.203,0.797,wyl (guard),,0,Northmen,,298.0,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.026755853,0,House Stark,298.0,1.0,35.0,35.0,1,0,1,0,0,0,0
13,32,1,0,0.155,0.845,wun weg wun dar wun,,1,,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.050167224,1,Wildling,,,,35.0,1,0,0,0,0,0,1
14,34,1,1,0.835,0.165,wynafryd manderly,,0,,280.0,,,,,House Manderly,,0,0,0,1,1,,,,,0,0,25.0,0,0,0,0.056856187,1,Stark,,,,19.0,1,1,0,0,0,0,1
